organ,protein_seqid,kadrc_mean,kadrc_std
Immune,3293-2,4.060237731,0.19737168
Immune,8825-4,2.645720114,0.09919107
Immune,9343-16,3.356680625,0.120532272
Immune,11441-11,3.874564668,0.176860485
Immune,12746-4,2.871028999,0.094213015
Immune,4915-64,2.634167815,0.385204303
Immune,4135-84,4.070113379,0.624775891
Immune,6485-59,3.151958334,0.246961238
Immune,9368-64,2.64668994,0.079635375
Immune,3311-27,3.524893806,0.12579848
Immune,3312-64,2.574918712,0.135705448
Immune,13062-4,3.397329413,0.247023039
Immune,4544-4,4.170358151,0.350654568
Immune,10910-6,2.770524671,0.1570042
Immune,9275-2,4.343989981,0.421372124
Immune,9531-24,3.104069258,0.123029722
Immune,8098-37,3.030703892,0.132198705
Intestine,2705-5,2.848414051,0.134402347
Intestine,16785-45,3.440035749,0.189135278
Intestine,12975-11,2.856903509,0.160760749
Intestine,17835-28,2.590818346,0.119897693
Intestine,6571-75,2.923503997,0.100681447
Intestine,6450-8,2.499218633,0.111702219
Intestine,10848-137,2.583385995,0.065480003
Intestine,13724-27,3.589948235,0.213279798
Intestine,7020-13,2.324062521,0.143315298
Intestine,8219-14,2.798568438,0.721702419
Intestine,8850-5,2.878224726,0.088607591
Intestine,15385-116,3.200511058,0.146791101
Intestine,17685-9,4.605001293,0.09913224
Intestine,6223-5,3.368919405,0.2392529
Intestine,9115-78,2.954502279,0.106781922
Intestine,16613-3,3.699331133,0.209484564
Intestine,17505-125,3.116447338,0.108273341
Intestine,17441-4,2.679834618,0.223250069
Intestine,7184-13,2.879318088,0.170455504
Intestine,10462-14,2.508764841,0.139674894
Intestine,19213-1,3.38288966,0.118576102
Intestine,3356-50,2.254896874,0.098235217
Intestine,9962-1,3.141373592,0.095984047
Intestine,5631-83,3.760802533,0.267424886
Intestine,9017-58,3.317021604,0.308830333
Intestine,10496-11,2.735395908,0.166186025
Intestine,3727-35,2.990438109,0.159007376
Intestine,2982-82,2.781404054,0.089289788
Intestine,14132-21,2.665734488,0.104867723
Intestine,11102-22,4.528300148,0.142062064
Intestine,10453-7,1.983242296,0.171897897
Intestine,12737-12,3.107722789,0.215901037
Intestine,3189-61,2.578661994,0.084561524
Kidney,10087-10,2.562051899,0.07908952
Kidney,14129-1,2.510023603,0.140987226
Kidney,7737-76,2.761874564,0.138115973
Kidney,9778-45,3.231742484,0.133158002
Kidney,8032-23,2.130211649,0.187978034
Kidney,16852-10,3.27154021,0.09098274
Kidney,19492-5,3.515477497,0.107438672
Kidney,13498-1,2.853482012,0.168314582
Kidney,13470-43,2.92708155,0.150044445
Kidney,9451-20,3.84788878,0.202292335
Kidney,3396-54,4.156771431,0.270024978
Kidney,15384-15,3.4285529,0.132391493
Liver,3054-3,4.625996789,0.362755242
Liver,2190-55,3.583192509,0.094160515
Liver,4151-6,3.829048472,0.108550966
Liver,4996-66,3.844985985,0.143730605
Liver,9326-33,4.966648102,0.05540636
Liver,12370-30,3.930641744,0.200216115
Liver,10391-1,3.314871889,0.12119355
Liver,15589-1,4.255771781,0.061816433
Liver,4913-78,4.220730062,0.167504476
Liver,9002-36,4.241116541,0.123381765
Liver,16763-11,4.019184837,0.152170112
Liver,7905-30,4.837224477,0.364350275
Liver,6408-2,4.036916952,0.117309673
Liver,6461-54,3.834618256,0.249089083
Liver,15453-3,4.969233616,0.074014187
Liver,3030-3,3.529666725,0.049499739
Liver,8935-22,2.858843006,0.074348178
Liver,4261-55,2.553092443,0.096392733
Liver,4129-72,4.536421895,0.059249542
Liver,2474-54,4.777364886,0.082151655
Liver,7955-195,4.632470899,0.055984614
Liver,15468-14,4.66792382,0.093762697
Liver,5658-64,4.422378644,0.078543561
Liver,5708-1,4.08533222,0.426236035
Liver,8325-37,3.666096078,0.236168602
Liver,2851-63,3.971743278,0.083416636
Liver,6580-29,4.050684748,0.584751038
Liver,17453-34,3.765509623,0.161575542
Liver,3758-68,2.683707434,0.108198303
Liver,5861-78,3.692212782,0.139393706
Liver,5452-71,3.223741917,0.169811275
Liver,9474-22,2.43888321,0.175895254
Liver,6605-17,4.444466758,0.119021084
Liver,3186-2,3.905355307,0.081381746
Liver,2750-3,4.287939111,0.095020209
Liver,3484-60,4.011683398,0.104733999
Liver,4152-58,4.815704794,0.069753672
Liver,11537-12,2.700799818,0.085881111
Liver,6471-53,4.22102985,0.422533415
Liver,3000-66,2.634674404,0.279014793
Liver,4811-33,4.54548906,0.156167083
Liver,18832-65,3.271598363,0.256437048
Liver,5813-58,2.821258708,0.143189047
Liver,6415-90,4.326315177,0.085054496
Liver,4337-49,4.348971311,0.340511761
Liver,4482-66,3.383237687,0.070327678
Liver,4876-32,4.325316645,0.063710594
Liver,7145-1,3.369416918,0.125906098
Liver,15364-101,5.211192142,0.053744213
Liver,17758-79,2.91200969,0.194820825
Liver,4150-75,3.222368622,0.096546565
Liver,3344-60,5.123752267,0.043765381
Liver,2961-1,4.85661052,0.076019389
Liver,3580-25,4.524624956,0.108564169
Liver,15515-2,4.003838106,0.333223376
Liver,18398-1,2.555541248,0.132895957
Liver,15686-49,3.065540789,0.220664187
Liver,16561-9,3.207559636,0.07593898
Liver,4157-2,3.35414808,0.300630965
Liver,10663-42,2.531497245,0.174296155
Liver,4874-3,3.568705648,0.139809433
Liver,16927-9,4.084225808,0.187841546
Liver,17702-53,3.020915835,0.126847371
Liver,3316-58,3.704082916,0.092609835
Liver,2771-35,3.827386162,0.376821573
Liver,18814-21,2.57303745,0.136726681
Liver,4785-30,2.539649728,0.108223216
Liver,4880-21,3.496643312,0.198272709
Liver,11241-8,3.661345908,0.202537165
Liver,3024-18,3.807173637,0.06426702
Liver,3060-43,4.912015789,0.082787326
Liver,8791-151,2.860773122,0.128575725
Liver,12881-17,3.480990773,0.126020222
Liver,6350-43,2.747027956,0.139714835
Liver,7142-5,3.308428426,0.062428095
Liver,4407-10,4.022854364,0.316115796
Liver,3184-25,4.886599882,0.107660802
Liver,5223-59,2.770451364,0.069338938
Liver,5601-2,4.487169688,0.07436142
Liver,15516-12,4.716046607,0.116920681
Liver,18397-5,2.925637077,0.257707129
Liver,15633-6,3.629979336,0.10348011
Liver,13125-45,3.477569913,0.301954475
Liver,17396-23,3.538317247,0.200088867
Liver,5307-12,4.10051122,0.088387708
Liver,7155-46,2.910274146,0.148482718
Liver,12423-38,3.008536728,0.151467407
Liver,9449-150,4.184655949,0.091689985
Liver,15584-9,3.963497475,0.176250428
Liver,3581-53,3.560773304,0.070663814
Liver,7183-102,2.714046474,0.094897505
Liver,18206-18,3.308903105,0.198392369
Liver,13119-26,3.89040903,0.124009844
Liver,3518-54,4.415598651,0.061375658
Liver,17768-50,2.75716976,0.196392365
Liver,6558-5,3.118950204,0.074194173
Liver,18890-227,3.19442443,0.076222668
Liver,2381-52,4.556267993,0.047419756
Liver,16836-1,2.574306674,0.145855113
Liver,4763-31,4.611143583,0.073151248
Liver,3367-8,4.038874657,0.23290312
Liver,2706-69,4.832349545,0.053091531
Liver,15363-32,4.151192842,0.173406869
Liver,5581-28,4.683693345,0.182134911
Liver,14708-59,4.837805285,0.07646383
Liver,9880-33,3.568433932,0.139024804
Liver,18380-78,4.881555927,0.061295877
Liver,2829-19,2.740109136,0.140651266
Liver,3617-80,3.962835098,0.228958915
Liver,7127-3,3.540593988,0.115908562
Liver,11239-49,3.071234468,0.316539286
Liver,3710-49,4.670873227,0.067726757
Liver,16055-3,4.791983283,0.118258775
Lung,4125-52,3.455211697,0.27084347
Lung,10580-14,2.54087658,0.151068094
Lung,7813-6,2.214055497,0.163923204
Lung,9032-30,2.94829023,0.146570883
Lung,19590-46,3.463180542,0.235382554
Lung,10672-75,2.469600101,0.244140457
